buildingfinishedsf,lastsaleamount (Average),,,
208,450000.00000000,,,
600,260000.00000000,,,
697,136000.00000000,,,
784,500000.00000000,,,
792,247600.00000000,,,
832,325000.00000000,,,
864,290397.10000000,,,
912,265333.33333333,,,
925,365000.00000000,,,
936,395000.00000000,,,
950,351000.00000000,,,
960,327000.00000000,,,
970,310000.00000000,,,
972,348000.00000000,,,
996,377250.00000000,,,
1000,94500.00000000,,,
1008,387500.00000000,,,
1018,208000.00000000,,,
1024,137622.00000000,,,
1030,353000.00000000,,,
1032,215000.00000000,,,
1044,187500.00000000,,,
1050,401000.00000000,,,
1056,352500.00000000,,,
1072,431000.00000000,,,
1074,229000.00000000,,,
1076,340000.00000000,,,
1078,280000.00000000,,,
1080,333600.00000000,,,
1092,392000.00000000,,,
1104,552500.00000000,,,
1106,355000.00000000,,,
1110,495000.00000000,,,
1111,380000.00000000,,,
1116,425000.00000000,,,
1119,365000.00000000,,,
1120,25000.00000000,,,
1122,374600.00000000,,,
1128,245893.00000000,,,
1132,335000.00000000,,,
1144,515000.00000000,,,
1148,200000.00000000,,,
1152,549000.00000000,,,
1153,329000.00000000,,,
1168,336000.00000000,,,
1176,320000.00000000,,,
1177,530000.00000000,,,
1200,312000.00000000,,,
1204,510500.00000000,,,
1216,360000.00000000,,,
1224,257500.00000000,,,
1233,425000.00000000,,,
1248,371400.00000000,,,
1260,296000.00000000,,,
1270,350000.00000000,,,
1276,425000.00000000,,,
1286,381500.00000000,,,
1292,185000.00000000,,,
1296,339500.00000000,,,
1302,420000.00000000,,,
1320,275000.00000000,,,
1324,471890.00000000,,,
1344,381500.00000000,,,
1353,365000.00000000,,,
1365,363750.00000000,,,
1368,420000.00000000,,,
1369,436000.00000000,,,
1371,870000.00000000,,,
1372,495000.00000000,,,
1376,109450.00000000,,,
1377,290000.00000000,,,
1384,447500.00000000,,,
1386,400000.00000000,,,
1392,504000.00000000,,,
1396,400000.00000000,,,
1400,365000.00000000,,,
1403,545000.00000000,,,
1404,422500.00000000,,,
1410,470000.00000000,,,
1412,502500.00000000,,,
1414,537500.00000000,,,
1421,422500.00000000,,,
1422,545000.00000000,,,
1428,569000.00000000,,,
1440,473700.00000000,,,
1460,409999.50000000,,,
1461,496500.00000000,,,
1470,377500.00000000,,,
1484,520000.00000000,,,
1485,497500.00000000,,,
1488,412000.00000000,,,
1492,365806.00000000,,,
1496,473295.00000000,,,
1512,301975.00000000,,,
1515,515000.00000000,,,
1523,260000.00000000,,,
1528,427500.00000000,,,
1536,436666.66666667,,,
1542,337000.00000000,,,
1550,460000.00000000,,,
1567,63983.33000000,,,
1582,482500.00000000,,,
1584,410000.00000000,,,
1590,400000.00000000,,,
1600,535500.00000000,,,
1602,105450.00000000,,,
1610,469000.00000000,,,
1612,472000.00000000,,,
1620,410000.00000000,,,
1627,74566.67000000,,,
1636,696000.00000000,,,
1638,310000.00000000,,,
1644,370000.00000000,,,
1656,475000.00000000,,,
1660,550000.00000000,,,
1666,440000.00000000,,,
1672,527000.00000000,,,
1676,301100.00000000,,,
1692,310000.00000000,,,
1714,520000.00000000,,,
1717,390000.00000000,,,
1721,440000.00000000,,,
1722,595000.00000000,,,
1728,689900.00000000,,,
1732,350000.00000000,,,
1734,519000.00000000,,,
1740,430000.00000000,,,
1790,575000.00000000,,,
1795,500000.00000000,,,
1800,379000.00000000,,,
1806,403000.00000000,,,
1810,402500.00000000,,,
1830,100000.00000000,,,
1866,425000.00000000,,,
1868,636000.00000000,,,
1881,558900.00000000,,,
1889,415000.00000000,,,
1894,522000.00000000,,,
1897,425000.00000000,,,
1902,104850.00000000,,,
1904,460000.00000000,,,
1906,549000.00000000,,,
1915,550000.00000000,,,
1926,535000.00000000,,,
1947,3128.00000000,,,
1949,432500.00000000,,,
1954,369400.00000000,,,
1962,595000.00000000,,,
1965,425000.00000000,,,
1975,640000.00000000,,,
1988,460000.00000000,,,
2005,730000.00000000,,,
2006,495000.00000000,,,
2048,525000.00000000,,,
2051,600000.00000000,,,
2052,489000.00000000,,,
2056,955000.00000000,,,
2063,385000.00000000,,,
2073,400000.00000000,,,
2075,525000.00000000,,,
2080,572500.00000000,,,
2084,528500.00000000,,,
2100,64000.00000000,,,
2112,612000.00000000,,,
2115,550000.00000000,,,
2120,480100.00000000,,,
2147,754000.00000000,,,
2156,538000.00000000,,,
2160,531250.00000000,,,
2195,490000.00000000,,,
2196,500000.00000000,,,
2210,668100.00000000,,,
2224,429000.00000000,,,
2288,360000.00000000,,,
2298,825000.00000000,,,
2312,500000.00000000,,,
2325,540000.00000000,,,
2338,285000.00000000,,,
2340,770000.00000000,,,
2344,395000.00000000,,,
2358,625000.00000000,,,
2384,965000.00000000,,,
2390,710000.00000000,,,
2408,699000.00000000,,,
2411,880000.00000000,,,
2417,796000.00000000,,,
2425,780000.00000000,,,
2429,540000.00000000,,,
2438,710000.00000000,,,
2468,175000.00000000,,,
2476,675800.00000000,,,
2530,480000.00000000,,,
2568,850000.00000000,,,
2572,630025.00000000,,,
2593,658000.00000000,,,
2650,519000.00000000,,,
2687,545000.00000000,,,
2697,627000.00000000,,,
2722,789500.00000000,,,
2742,760000.00000000,,,
2748,530000.00000000,,,
2795,699000.00000000,,,
3052,715000.00000000,,,
3123,908000.00000000,,,
3160,913000.00000000,,,
3405,550000.00000000,,,
3630,250000.00000000,,,
3631,950000.00000000,,,
3825,925000.00000000,,,
3845,450000.00000000,,,
